
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
44672,0.006,-0.272,0.967,0.412,0.153,-0.366,-15.72,-0.35
44922,0.005,-0.273,0.967,0.443,0.168,-0.366,-15.76,-0.26
45172,0.002,-0.273,0.967,0.290,0.137,-0.366,-15.79,-0.13
45422,0.004,-0.272,0.967,0.397,0.198,-0.366,-15.70,-0.21
45672,0.003,-0.272,0.968,0.336,0.198,-0.382,-15.70,-0.19
45922,0.002,-0.273,0.967,0.366,0.198,-0.305,-15.78,-0.14
46172,0.002,-0.273,0.967,0.351,0.198,-0.351,-15.76,-0.14
46422,0.005,-0.272,0.968,0.427,0.137,-0.336,-15.69,-0.26
46672,0.004,-0.272,0.966,0.336,0.137,-0.321,-15.71,-0.24
46922,0.003,-0.273,0.969,0.840,0.183,-0.336,-15.76,-0.17
47172,0.004,-0.273,0.964,0.550,0.198,-0.321,-15.81,-0.21
47422,0.005,-0.271,0.966,0.412,0.153,-0.366,-15.69,-0.26
47672,0.003,-0.270,0.967,0.412,0.153,-0.397,-15.62,-0.20
47922,0.002,-0.272,0.967,0.382,0.168,-0.366,-15.74,-0.14
48172,0.003,-0.272,0.966,0.321,0.198,-0.351,-15.73,-0.17
48422,0.004,-0.272,0.966,0.366,0.183,-0.351,-15.75,-0.25
48672,0.005,-0.274,0.964,0.183,0.168,-0.366,-15.89,-0.31
48922,0.004,-0.272,0.967,0.366,0.198,-0.382,-15.71,-0.22
49172,0.005,-0.271,0.966,0.382,0.198,-0.366,-15.65,-0.31
49422,0.005,-0.271,0.968,0.458,0.168,-0.412,-15.63,-0.30
49672,0.004,-0.273,0.967,0.397,0.153,-0.336,-15.74,-0.22
49922,0.003,-0.273,0.968,0.366,0.198,-0.397,-15.74,-0.19
50172,0.003,-0.272,0.967,0.443,0.198,-0.321,-15.72,-0.19
50422,0.003,-0.275,0.965,0.336,0.168,-0.382,-15.91,-0.19
50672,0.004,-0.271,0.968,0.229,0.198,-0.351,-15.65,-0.21
50922,0.005,-0.270,0.966,0.397,0.122,-0.366,-15.61,-0.29
51172,0.005,-0.271,0.967,0.427,0.198,-0.382,-15.67,-0.29
51422,0.005,-0.273,0.967,0.382,0.183,-0.397,-15.75,-0.30
51672,0.003,-0.272,0.966,0.366,0.168,-0.397,-15.75,-0.20
51922,0.003,-0.273,0.966,0.366,0.137,-0.382,-15.76,-0.19
52172,0.004,-0.272,0.966,0.336,0.183,-0.366,-15.75,-0.23
52422,0.002,-0.272,0.967,0.260,0.153,-0.382,-15.70,-0.11
52672,0.002,-0.271,0.965,0.412,0.168,-0.397,-15.71,-0.13
52922,0.004,-0.271,0.968,0.794,0.122,-0.397,-15.66,-0.20
53172,0.006,-0.271,0.966,0.412,0.183,-0.366,-15.66,-0.36
53422,0.005,-0.272,0.963,0.000,0.153,-0.382,-15.76,-0.29
53672,0.005,-0.272,0.968,-0.031,0.183,-0.397,-15.70,-0.29
53922,0.004,-0.272,0.967,0.733,0.198,-0.397,-15.72,-0.24
54172,0.005,-0.272,0.967,0.427,0.198,-0.412,-15.74,-0.30
54422,0.005,-0.272,0.967,0.351,0.122,-0.397,-15.71,-0.30
54672,0.004,-0.270,0.965,0.382,0.137,-0.412,-15.66,-0.21
54922,0.005,-0.271,0.966,0.412,0.168,-0.336,-15.69,-0.29
55172,0.003,-0.272,0.968,0.427,0.137,-0.336,-15.70,-0.19
55422,0.005,-0.271,0.967,0.427,0.122,-0.336,-15.62,-0.28
55672,0.004,-0.271,0.966,0.275,0.168,-0.321,-15.69,-0.21
55922,0.003,-0.272,0.967,0.382,0.168,-0.336,-15.69,-0.19
56172,0.004,-0.269,0.968,0.427,0.198,-0.397,-15.54,-0.21
56422,0.004,-0.271,0.967,0.351,0.168,-0.336,-15.66,-0.20
56672,0.001,-0.273,0.967,0.366,0.198,-0.397,-15.75,-0.08
56922,0.003,-0.272,0.966,0.427,0.168,-0.382,-15.75,-0.17
57172,0.003,-0.272,0.968,0.519,0.214,-0.412,-15.68,-0.17
57422,0.004,-0.272,0.966,0.336,0.153,-0.397,-15.74,-0.24
57672,0.004,-0.273,0.965,0.443,0.198,-0.427,-15.78,-0.24
57922,0.004,-0.271,0.966,0.061,0.198,-0.366,-15.66,-0.25
58172,0.004,-0.270,0.966,0.336,0.153,-0.397,-15.61,-0.22
58422,0.004,-0.274,0.964,0.947,0.168,-0.366,-15.87,-0.20
58672,0.004,-0.273,0.966,0.336,0.168,-0.382,-15.75,-0.21
58922,0.003,-0.272,0.967,0.458,0.153,-0.397,-15.70,-0.15
59172,0.001,-0.272,0.968,-0.198,0.198,-0.351,-15.70,-0.07
59422,0.005,-0.271,0.966,0.244,0.214,-0.305,-15.66,-0.31
59672,0.003,-0.271,0.966,0.443,0.168,-0.382,-15.67,-0.19
59922,0.005,-0.271,0.969,0.580,0.153,-0.397,-15.62,-0.26
60172,0.004,-0.272,0.968,0.504,0.183,-0.412,-15.73,-0.23
60422,0.004,-0.273,0.966,0.397,0.153,-0.397,-15.78,-0.23
60672,0.003,-0.272,0.966,0.443,0.122,-0.412,-15.71,-0.20
60922,0.005,-0.271,0.968,0.260,0.198,-0.382,-15.63,-0.28
61172,0.003,-0.271,0.961,0.580,0.229,-0.366,-15.77,-0.18
61422,0.003,-0.273,0.967,0.382,0.107,-0.397,-15.74,-0.19
61672,0.005,-0.271,0.966,0.489,0.168,-0.351,-15.70,-0.31
61922,0.009,-0.278,0.960,1.282,-0.076,0.443,-16.17,-0.53
62172,0.005,-0.272,0.967,0.076,0.168,-0.397,-15.73,-0.27
62422,0.004,-0.271,0.967,0.397,0.214,-0.321,-15.63,-0.23
62672,0.005,-0.270,0.967,0.214,0.168,-0.305,-15.58,-0.29
62922,0.006,-0.271,0.963,0.565,0.168,-0.397,-15.71,-0.34
63172,0.005,-0.271,0.966,0.397,0.168,-0.321,-15.69,-0.31
63422,0.003,-0.271,0.971,0.672,0.168,-0.382,-15.56,-0.19
63672,0.005,-0.270,0.969,0.748,0.198,-0.427,-15.58,-0.28
63922,0.004,-0.270,0.965,0.641,0.214,-0.397,-15.64,-0.24
64172,0.006,-0.271,0.967,0.092,0.122,-0.321,-15.67,-0.32
64422,0.002,-0.271,0.969,0.061,0.198,-0.351,-15.65,-0.09
64672,0.005,-0.269,0.969,0.550,0.168,-0.382,-15.53,-0.27
64922,0.004,-0.273,0.965,0.397,0.183,-0.321,-15.79,-0.20
65172,0.004,-0.270,0.966,0.840,0.168,-0.366,-15.63,-0.23
65422,0.005,-0.268,0.968,0.397,0.183,-0.412,-15.45,-0.27
65672,0.006,-0.270,0.966,0.504,0.137,-0.351,-15.62,-0.37
65922,0.004,-0.271,0.966,0.489,0.183,-0.336,-15.68,-0.20
66172,0.003,-0.271,0.967,0.366,0.183,-0.336,-15.64,-0.15
66422,0.003,-0.270,0.969,0.412,0.137,-0.382,-15.59,-0.15
66672,0.005,-0.270,0.966,0.443,0.198,-0.397,-15.59,-0.29
66922,0.005,-0.271,0.967,0.336,0.153,-0.382,-15.67,-0.26
67172,0.005,-0.270,0.968,0.397,0.198,-0.336,-15.58,-0.28
67422,0.005,-0.271,0.967,0.427,0.153,-0.412,-15.63,-0.29
67672,0.005,-0.270,0.967,0.351,0.168,-0.366,-15.60,-0.28
67922,0.005,-0.271,0.967,0.397,0.214,-0.351,-15.65,-0.26
68172,0.004,-0.271,0.968,0.183,0.137,-0.366,-15.66,-0.20
68422,0.003,-0.270,0.968,0.382,0.214,-0.397,-15.59,-0.18
68672,0.145,0.026,1.026,21.710,37.221,-71.115,1.46,-8.01
68922,-0.034,-0.229,1.054,-12.321,1.160,-3.634,-12.25,1.81
69172,-0.041,-0.550,0.856,-23.863,22.076,-128.153,-32.72,2.30
69422,0.030,0.276,0.756,250.130,-131.939,-14.076,20.08,-2.13
69672,-0.006,0.623,1.043,1.908,-23.985,-67.649,30.84,0.27
69922,0.208,0.390,0.996,2.748,4.580,-7.908,21.38,-10.99
70172,0.182,0.262,0.922,-8.351,4.412,14.504,15.88,-10.74
70422,0.178,0.441,1.031,71.908,61.038,-76.046,23.15,-9.03
70672,0.103,0.326,1.184,-45.756,-91.908,-50.779,15.41,-4.79
70922,0.115,0.356,0.953,40.214,28.198,-23.878,20.47,-6.44
71172,-0.038,0.469,0.884,29.832,16.702,-14.290,27.96,2.19
71422,0.057,0.077,0.740,-216.656,65.053,236.153,5.91,-4.39
71672,-0.123,0.063,0.796,-71.237,-46.183,39.771,4.54,8.78
71922,0.011,-0.036,0.875,1.878,-13.695,26.229,-2.34,-0.73
72172,0.162,-0.240,1.426,-231.771,-29.573,33.511,-9.56,-6.40
72422,0.071,-0.061,1.003,1.710,0.748,0.107,-3.50,-4.02
