
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
57016,6.268,1.106,15.570,-0.102,-0.008,0.058,4.06,-21.88
57266,6.248,1.180,15.572,-0.094,0.038,0.056,4.33,-21.81
57516,6.298,1.084,15.588,-0.086,0.044,0.050,3.98,-21.95
57766,6.290,1.162,15.572,-0.088,0.044,0.054,4.27,-21.94
58016,6.300,1.130,15.580,-0.052,0.128,0.022,4.15,-21.96
58266,6.322,1.060,15.564,-0.058,0.088,0.030,3.90,-22.06
58516,6.228,1.196,15.572,-0.098,-0.010,0.060,4.39,-21.74
58766,6.252,1.128,15.540,-0.086,0.010,0.062,4.15,-21.86
59017,6.342,1.094,15.606,-0.108,-0.022,0.066,4.01,-22.07
59267,6.320,1.104,15.588,-0.114,-0.028,0.072,4.05,-22.02
59517,6.298,1.118,15.574,-0.106,-0.022,0.064,4.11,-21.97
59767,6.270,1.152,15.594,-0.072,0.172,-0.010,4.23,-21.85
60017,6.220,1.136,15.574,-0.136,-0.088,0.086,4.17,-21.72
60267,6.188,1.158,15.574,-0.118,-0.060,0.072,4.25,-21.62
60517,6.344,1.130,15.576,-0.036,0.152,0.030,4.15,-22.11
60767,6.278,1.134,15.578,-0.094,0.026,0.066,4.16,-21.90
61018,6.268,1.162,15.576,-0.076,0.058,0.050,4.27,-21.87
61268,6.318,1.108,15.586,-0.070,0.062,0.048,4.07,-22.02
61518,6.244,1.142,15.556,-0.078,0.040,0.054,4.20,-21.82
61768,6.286,1.122,15.586,-0.100,0.012,0.064,4.12,-21.91
62018,6.264,1.116,15.572,-0.092,0.036,0.046,4.10,-21.86
62268,6.260,1.132,15.582,-0.090,0.030,0.056,4.16,-21.84
62518,6.280,1.132,15.588,-0.084,0.050,0.050,4.15,-21.89
62768,6.266,1.154,15.566,-0.086,0.040,0.058,4.24,-21.87
63019,6.262,1.150,15.586,-0.078,0.058,0.044,4.22,-21.84
63269,6.272,1.128,15.562,-0.090,0.030,0.054,4.15,-21.90
63519,6.284,1.138,15.576,-0.084,0.044,0.044,4.18,-21.92
63769,6.282,1.128,15.580,-0.088,0.026,0.052,4.14,-21.91
64019,6.270,1.140,15.550,-0.078,0.048,0.056,4.19,-21.91
64269,6.262,1.124,15.556,-0.096,0.018,0.062,4.13,-21.88
64519,6.294,1.122,15.560,-0.086,0.028,0.056,4.12,-21.97
64769,6.296,1.114,15.578,-0.102,-0.026,0.080,4.09,-21.96
