
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
43021,-0.423,-0.322,1.167,-5.298,26.214,38.580
43271,-0.148,-0.329,1.047,22.565,26.000,118.992
43521,-0.234,-0.055,0.767,-4.794,28.947,22.244
43771,-0.224,-0.257,1.075,17.374,-36.031,-58.229
44021,-0.454,-0.244,0.896,-15.908,-47.237,-36.015
44271,-0.303,-0.459,1.466,3.389,-0.260,61.420
44521,-0.102,-0.163,0.722,42.931,36.412,49.084
44771,-0.263,-0.083,0.852,-2.473,-54.198,-44.015
45021,-0.174,-0.151,0.822,-14.779,-21.237,-45.832
45271,-0.254,-0.052,1.450,15.420,47.176,-7.344
45521,-0.085,-0.414,0.837,18.534,43.374,18.214
45771,-0.461,-0.065,0.773,1.420,-17.511,-20.061
46021,-0.240,-0.427,1.109,-33.588,-1.176,4.000
46271,-0.263,-0.179,0.860,-10.901,-31.557,-15.328
46521,-0.395,-0.281,1.286,21.420,8.840,31.695
46771,-0.188,-0.117,0.745,31.954,29.115,45.008
47021,-0.292,-0.087,0.831,-21.313,-19.023,-32.611
47271,-0.211,0.068,0.914,-7.908,-0.427,-34.351
47521,-0.475,-0.253,0.925,-40.977,3.939,16.702
47771,-0.456,-0.336,1.197,5.145,13.160,59.679
48021,-0.109,0.010,0.583,20.046,12.748,12.641
48271,-0.369,-0.433,1.169,-22.962,-4.122,-95.771
48521,-0.462,-0.163,0.733,-21.115,-4.870,-23.924
48771,-0.447,-0.238,1.334,23.053,13.725,42.275
49021,-0.147,-0.177,0.545,5.985,40.840,48.519
49271,-0.377,-0.047,0.764,-13.786,-26.076,-52.122
49521,-0.319,-0.114,0.957,-5.573,-0.122,-32.626
49771,-0.391,-0.180,0.896,-11.924,-3.359,34.901
50021,-0.493,-0.581,1.283,-23.603,-16.168,52.809
50271,-0.136,0.230,0.516,57.924,-28.626,30.244
50521,-0.254,-0.276,1.089,47.588,-19.069,-107.328
50771,-0.622,-0.481,1.023,-43.603,24.702,-17.634
51021,-0.241,-0.411,0.552,-67.298,-69.313,101.206
51271,0.319,-0.213,0.711,74.107,112.473,46.550
51521,0.222,0.019,0.659,17.282,-45.115,23.634
51771,-0.227,-0.622,0.618,-64.977,24.534,16.427
52021,0.013,-0.220,0.775,-18.137,-1.573,-26.229
52271,0.125,0.065,0.772,18.641,29.878,9.573
52521,0.012,-0.035,1.249,12.656,-20.901,-40.489
52771,0.076,-0.460,1.116,-56.366,58.351,-61.099
53021,-0.109,-0.274,0.611,-15.038,7.496,37.435
53271,0.263,-0.351,0.896,-8.397,-2.107,18.061
53521,-0.055,-0.197,0.832,-6.824,31.527,-38.107
53771,0.318,-0.324,0.811,-4.794,-0.229,-31.878
54021,0.130,-0.062,0.509,33.985,-33.756,17.282
54271,0.766,-0.894,1.530,9.832,-63.802,94.168
54521,0.161,-0.116,0.743,7.160,27.420,-28.947
54771,0.950,-0.144,2.000,-33.298,-7.969,-15.649
55021,-0.108,-0.449,0.863,45.908,92.412,-3.313
55271,0.212,-0.512,0.856,47.634,-250.122,92.748
55521,0.017,0.075,0.721,-53.985,14.611,-1.038
55771,1.049,-0.313,1.805,12.687,-24.122,13.664
56021,0.125,-0.376,0.586,-10.779,83.298,-57.634
56271,0.008,-0.999,0.992,1.878,-147.710,95.710
56521,0.146,0.022,0.906,-25.115,-1.023,-19.756
56771,0.588,-0.754,1.827,40.718,-66.275,30.412
57021,0.015,-0.382,0.524,18.977,78.916,-31.939
57271,0.240,-0.506,0.625,-15.298,-140.061,46.763
57521,0.137,-0.130,0.766,7.924,21.847,25.160
57771,0.172,-0.315,1.015,-10.305,26.351,-29.344
58021,0.339,-0.579,1.130,-23.191,79.115,-55.695
58271,0.124,-0.288,0.516,-17.878,30.412,26.504
58521,0.426,-0.342,1.422,-35.969,-93.740,62.824
58771,-0.114,-0.187,0.661,12.504,-1.374,3.786
59021,0.264,-0.111,1.059,-22.214,-3.954,-44.733
59271,0.105,-0.185,0.371,27.939,118.763,-68.183
59521,0.078,-0.218,0.355,-17.053,-10.733,63.405
59771,0.145,0.043,0.918,-75.786,-41.908,47.542
60021,0.209,-0.145,1.094,28.763,-14.580,-24.046
60271,0.250,-0.379,0.837,19.649,90.489,-66.748
60521,0.140,-0.157,0.477,-19.649,15.847,58.611
60771,0.175,-0.104,0.941,-49.145,-59.481,25.908
61021,0.195,-0.169,1.178,8.672,31.176,-23.099
61271,0.392,-0.416,1.126,30.443,78.763,-63.176
61521,0.162,-0.338,0.535,28.153,6.809,38.763
