
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
27864,-0.279,-0.153,1.054,1.634,-5.710,3.817,-8.27,14.68
28114,-0.027,-0.039,0.836,6.870,-16.672,4.107,-2.68,1.83
28364,0.246,-0.134,1.091,-18.397,8.947,-19.908,-6.99,-12.60
28614,-0.364,0.014,0.947,8.840,30.855,18.595,0.85,21.04
28864,-0.266,-0.181,0.937,2.382,-25.405,-11.420,-10.94,15.54
29114,0.264,-0.019,1.039,21.313,-16.412,7.954,-1.05,-14.25
29364,0.059,-0.230,0.933,-0.015,3.725,20.229,-13.85,-3.52
29614,-0.498,-0.253,0.937,-12.595,-22.183,-16.672,-15.12,27.17
29864,0.119,-0.288,0.997,10.672,-24.489,10.183,-16.11,-6.54
30114,0.235,-0.155,1.035,-39.160,5.832,-22.580,-8.50,-12.65
30364,-0.249,-0.261,1.077,9.527,24.962,16.336,-13.63,12.66
30614,-0.422,-0.221,0.859,-9.328,-13.939,-5.053,-14.44,25.43
30864,0.273,-0.131,0.996,1.649,-22.321,19.863,-7.49,-15.19
31114,0.246,-0.163,0.977,-22.061,35.298,-16.473,-9.48,-13.96
31364,-0.621,-0.142,0.751,26.580,46.840,17.038,-10.74,39.10
31614,-0.200,-0.361,0.872,-16.183,-36.137,-2.687,-22.49,11.97
31864,0.313,0.090,1.272,1.298,-8.000,1.053,4.03,-13.78
32114,0.054,-0.226,0.968,4.504,19.740,-9.511,-13.12,-3.13
32364,-0.574,-0.288,1.061,-10.260,-16.595,-3.618,-15.19,27.57
32614,-0.039,-0.116,1.060,-11.740,-17.786,6.321,-6.26,2.11
32864,0.257,0.000,1.000,-7.802,17.695,-12.794,0.01,-14.40
33114,-0.168,-0.010,1.017,52.718,34.748,-7.847,-0.58,9.38
33364,-0.483,-0.298,1.046,-19.084,-40.947,-12.321,-15.90,23.94
33614,0.119,0.027,1.029,3.221,-53.389,3.664,1.48,-6.59
33864,0.281,0.034,0.927,-26.550,23.802,-22.305,2.09,-16.84
34114,-0.383,-0.010,0.845,22.733,65.786,29.710,-0.69,24.35
34364,-0.520,-0.458,0.912,-19.176,-66.427,-21.771,-26.64,27.00
34614,0.216,-0.013,1.131,18.641,-37.435,-4.137,-0.66,-10.79
34864,0.069,-0.082,0.927,-10.336,-5.252,-0.748,-5.03,-4.24
35114,0.120,0.032,0.701,-13.496,-34.748,-0.611,2.60,-9.69
35364,0.049,0.055,0.974,0.947,4.870,-2.427,3.23,-2.89
35614,0.036,0.024,1.002,-2.794,2.290,-1.466,1.37,-2.04
35864,0.029,0.009,1.004,-1.557,1.496,-1.099,0.49,-1.66
36114,0.024,0.005,1.005,0.290,1.282,-0.977,0.29,-1.38
36364,0.018,0.005,1.005,0.321,1.115,-0.870,0.31,-1.03
36614,0.015,0.005,1.004,0.198,0.931,-0.809,0.31,-0.85
36864,0.012,0.004,1.005,0.214,0.702,-0.718,0.24,-0.69
37114,0.009,0.003,1.005,0.244,0.702,-0.702,0.19,-0.51
37364,0.008,0.003,1.005,0.321,0.580,-0.672,0.17,-0.47
37614,0.005,0.002,1.005,0.305,0.641,-0.748,0.11,-0.28
37864,0.004,0.002,1.006,0.336,0.321,-0.534,0.12,-0.21
38114,0.004,0.003,1.005,0.351,0.122,-0.473,0.17,-0.22
38364,0.003,0.003,1.007,0.427,0.153,-0.473,0.19,-0.15
38614,0.002,0.002,1.006,0.366,0.107,-0.489,0.13,-0.13
38864,0.002,0.003,1.006,0.473,0.092,-0.504,0.19,-0.13
39114,0.003,0.005,1.007,0.458,0.183,-0.458,0.28,-0.15
39364,0.001,0.004,1.006,0.656,0.183,-0.489,0.22,-0.06
39614,0.003,0.005,1.006,0.565,0.168,-0.489,0.26,-0.18
39864,0.001,0.006,1.005,0.702,0.260,-0.489,0.32,-0.07
40114,0.001,0.006,1.007,0.397,0.107,-0.458,0.35,-0.06
40364,0.001,0.007,1.006,0.443,0.153,-0.473,0.39,-0.06

--- CSV EXPORT END ---
