(5.05622, -3.86877, 7.3545)
(5.17113, -3.90708, 7.31619)
(5.13283, -3.79216, 7.43111)
(5.01791, -4.02199, 7.3928)
(4.97961, -3.98369, 7.73755)
(4.63487, -3.90708, 7.69924)
(4.55826, -3.90708, 7.81416)
(4.59656, -3.67725, 7.69924)
(4.67317, -3.90708, 7.3928)
(4.71148, -3.94538, 7.66094)
(4.71148, -3.75386, 7.54602)
(4.78809, -3.71555, 7.54602)
(4.86469, -3.86877, 7.3545)
(4.86469, -3.79216, 7.62263)
(4.97961, -3.86877, 7.54602)
(4.903, -3.86877, 7.62263)
(4.903, -3.79216, 7.3545)
(5.01791, -3.86877, 7.50772)
(5.01791, -3.86877, 7.50772)
(4.903, -3.86877, 7.62263)
(4.9413, -3.79216, 7.62263)
(4.67317, -3.94538, 7.54602)
(4.9413, -3.86877, 7.3545)
(4.9413, -3.79216, 7.46941)
(5.09452, -3.83047, 7.31619)
(5.05622, -3.83047, 7.46941)
(4.97961, -3.79216, 7.50772)
(4.903, -3.83047, 7.46941)
(5.05622, -3.90708, 7.50772)
(4.903, -3.83047, 7.3928)
(4.86469, -3.94538, 7.43111)
(4.9413, -3.86877, 7.43111)
(4.9413, -3.98369, 7.23959)
(4.9413, -3.94538, 7.43111)
(4.86469, -3.71555, 7.58433)
(5.20944, -3.67725, 7.46941)
(5.28605, -3.83047, 7.31619)
(5.17113, -3.40912, 7.3545)
(5.59248, -3.86877, 7.20128)
(5.36266, -3.75386, 7.3545)
(5.24774, -3.75386, 7.27789)
(5.32435, -3.71555, 7.04806)
(5.28605, -3.75386, 7.16298)
(5.36266, -3.67725, 7.08637)
(5.36266, -3.60064, 7.16298)
(5.36266, -3.83047, 7.08637)
(5.24774, -3.83047, 7.31619)
(5.32435, -3.79216, 7.12467)
(5.36266, -3.67725, 7.46941)
(5.51587, -3.71555, 7.12467)
(5.43926, -3.75386, 7.43111)
(5.40096, -3.75386, 7.27789)
(5.43926, -3.83047, 7.31619)
(5.24774, -3.86877, 6.97145)
(5.55418, -3.71555, 7.16298)
(5.20944, -3.83047, 7.20128)
(5.32435, -3.79216, 7.04806)
(5.24774, -3.86877, 7.12467)
(5.32435, -3.75386, 7.23959)
(5.47757, -3.71555, 7.31619)
(5.47757, -3.75386, 7.23959)
(5.17113, -3.79216, 7.3928)
(5.32435, -3.75386, 7.27789)
(5.13283, -3.86877, 7.27789)
(5.47757, -3.75386, 7.20128)
(5.36266, -3.79216, 7.23959)
(5.32435, -3.83047, 7.3928)
(5.32435, -3.75386, 7.27789)
(5.40096, -3.83047, 7.12467)
(5.36266, -3.71555, 6.85654)
(5.36266, -3.71555, 7.12467)
(5.43926, -3.75386, 7.16298)
(5.43926, -3.79216, 7.23959)
(5.28605, -3.75386, 7.04806)
(5.40096, -3.71555, 7.43111)
(5.36266, -3.75386, 7.20128)
(5.17113, -3.71555, 6.89484)
(5.51587, -3.75386, 7.20128)
(5.51587, -3.79216, 7.20128)
(5.40096, -3.86877, 7.12467)
(5.36266, -3.75386, 7.16298)
(5.55418, -3.71555, 7.08637)
(5.40096, -3.83047, 6.89484)
(5.43926, -3.67725, 7.12467)
(5.40096, -3.83047, 7.16298)
(5.43926, -3.86877, 7.3545)
(5.40096, -3.79216, 7.20128)
(5.51587, -3.90708, 7.27789)
(5.20944, -3.86877, 7.23959)
(5.43926, -3.60064, 7.20128)
(5.55418, -3.67725, 7.16298)
(5.32435, -3.86877, 7.20128)
(5.28605, -3.79216, 7.16298)
(5.51587, -3.63894, 7.16298)
(5.47757, -3.86877, 7.04806)
(5.36266, -3.71555, 7.04806)
(5.28605, -3.86877, 7.20128)
(5.43926, -3.75386, 7.16298)
(5.55418, -3.67725, 7.04806)
(5.43926, -3.79216, 7.23959)
(5.36266, -3.63894, 7.27789)
(5.51587, -3.90708, 6.89484)
(5.55418, -3.75386, 7.20128)
(5.43926, -3.79216, 7.04806)
(5.82231, -3.56234, 7.12467)
(5.82231, -3.56234, 7.20128)
(5.51587, -3.63894, 7.3545)
(5.43926, -3.79216, 6.89484)
(5.7074, -3.63894, 7.08637)
(5.43926, -3.79216, 7.08637)
(5.43926, -3.75386, 7.16298)
(5.47757, -3.79216, 7.20128)
(5.47757, -3.79216, 7.04806)
(5.55418, -3.83047, 7.20128)
(5.51587, -3.71555, 7.20128)
(5.55418, -3.67725, 7.04806)
(5.47757, -3.79216, 7.31619)
(5.63079, -3.79216, 7.20128)
(5.59248, -3.71555, 6.89484)
(5.47757, -3.86877, 7.23959)
(5.28605, -3.75386, 7.16298)
(5.24774, -3.63894, 7.16298)
(5.63079, -3.67725, 7.12467)
(5.36266, -3.83047, 7.08637)
(5.36266, -3.60064, 7.27789)
(5.66909, -3.67725, 7.20128)
(5.51587, -3.83047, 6.93315)
(5.47757, -3.71555, 6.97145)
(5.63079, -3.71555, 6.85654)
(5.59248, -3.60064, 7.20128)
(5.59248, -3.60064, 7.23959)
(5.7074, -3.60064, 7.12467)
(5.63079, -3.60064, 7.04806)
(5.63079, -3.75386, 7.04806)
(5.51587, -3.71555, 7.12467)
(5.66909, -3.60064, 7.12467)
(5.59248, -3.63894, 7.23959)
(5.43926, -3.63894, 7.00976)
(5.7457, -3.63894, 6.93315)
(5.63079, -3.56234, 6.97145)
(5.66909, -3.75386, 6.89484)
(5.78401, -3.52403, 7.08637)
(5.63079, -3.63894, 6.93315)
(5.47757, -3.60064, 6.97145)
(5.66909, -3.83047, 7.3928)
(5.7457, -3.48573, 7.12467)
(5.55418, -3.71555, 6.97145)
(5.66909, -3.60064, 7.27789)
(5.13283, -3.94538, 7.00976)
(5.55418, -3.63894, 7.04806)
(5.43926, -3.56234, 7.27789)
(5.36266, -3.71555, 7.08637)
(5.43926, -3.71555, 7.00976)
(5.51587, -3.56234, 7.23959)
