(-0.0766094, -1.07253, 9.72939)
(-0.191523, -1.11084, 9.88261)
(-0.306437, -1.11084, 9.69109)
(-0.153219, -1.07253, 9.57617)
(-0.306437, -1.34066, 9.8443)
(-0.191523, -1.03423, 9.8443)
(-0.191523, -1.22575, 9.72939)
(-0.229828, -1.26405, 9.806)
(-0.153219, -1.26405, 9.65278)
(-0.229828, -1.14914, 9.76769)
(-0.268133, -1.22575, 9.72939)
(-0.344742, -1.30236, 9.72939)
(-0.229828, -1.22575, 9.8443)
(-0.153219, -1.18745, 9.76769)
(-0.229828, -1.30236, 9.8443)
(-0.383047, -1.26405, 9.8443)
(-0.229828, -1.26405, 9.806)
(-0.344742, -1.18745, 9.806)
(-0.229828, -1.14914, 9.72939)
(-0.268133, -1.30236, 9.806)
(-0.191523, -1.14914, 9.53786)
(-0.153219, -1.26405, 9.8443)
(-0.268133, -1.03423, 9.30804)
(-0.268133, -1.18745, 9.8443)
(-0.383047, -1.11084, 9.76769)
(-0.383047, -1.18745, 9.76769)
